,pitches10mean,pitches10std,pitches10skew,pitches10kurt,pitches10dmean,pitches10dstd,pitches10dskew,pitches10dkurt,pitches20mean,pitches20std,pitches20skew,pitches20kurt,pitches20dmean,pitches20dstd,pitches20dskew,pitches20dkurt,pitches33mean,pitches33std,pitches33skew,pitches33kurt,pitches33dmean,pitches33dstd,pitches33dskew,pitches33dkurt,pitches100mean,pitches100std,pitches100skew,pitches100kurt,pitches100dmean,pitches100dstd,pitches100dskew,pitches100dkurt,timbre10mean,timbre10std,timbre10skew,timbre10kurt,timbre10dmean,timbre10dstd,timbre10dskew,timbre10dkurt,timbre20mean,timbre20std,timbre20skew,timbre20kurt,timbre20dmean,timbre20dstd,timbre20dskew,timbre20dkurt,timbre33mean,timbre33std,timbre33skew,timbre33kurt,timbre33dmean,timbre33dstd,timbre33dskew,timbre33dkurt,timbre100mean,timbre100std,timbre100skew,timbre100kurt,timbre100dmean,timbre100dstd,timbre100dskew,timbre100dkurt,loudness10mean,loudness10std,loudness10skew,loudness10kurt,loudness10dmean,loudness10dstd,loudness10dskew,loudness10dkurt,loudness20mean,loudness20std,loudness20skew,loudness20kurt,loudness20dmean,loudness20dstd,loudness20dskew,loudness20dkurt,loudness33mean,loudness33std,loudness33skew,loudness33kurt,loudness33dmean,loudness33dstd,loudness33dskew,loudness33dkurt,duration10mean,duration10std,duration10skew,duration10kurt,duration10dmean,duration10dstd,duration10dskew,duration10dkurt,duration20mean,duration20std,duration20skew,duration20kurt,duration20dmean,duration20dstd,duration20dskew,duration20dkurt,duration33mean,duration33std,duration33skew,duration33kurt,duration33dmean,duration33dstd,duration33dskew,duration33dkurt
Adele - Rolling in the Deep,0.3424008333333333,0.14203269253698445,0.5154477392927345,2.803683943745059,0.0008537815126050413,0.16950089699567614,0.5299161323346815,3.791715033393799,0.34240083333333343,0.1073095423264192,0.15646846303967651,2.6571368419479002,0.0012788135593220314,0.11500233313896686,0.7791876035674524,4.438124389606527,0.3413686868686869,0.09893076091158631,0.001811722864670788,2.303248695974368,0.0016658008658008642,0.12466169010342318,-0.07982813612925668,2.0872006190307286,0.3424008333333333,0.05435160016938068,-0.3011585164472453,1.7496598942697557,0.012605454545454541,0.06456309139320958,-0.19547750450143578,1.9072839407934739,7.2438433333333325,9.953662495556877,-0.16490946405875456,2.8131707217058746,-0.042807563025210445,12.159555272386063,0.016507237278534596,2.9671975021564156,7.243843333333333,8.089169329559672,0.173995660735032,3.248685347181556,0.03337372881355918,8.625071036284996,0.6062814660776531,3.225651056557808,7.138722222222223,7.271751318433831,0.58788380133183,2.93255651250505,-0.3294848484848485,6.683716465187088,-0.16589468557274104,2.412740767003646,7.243843333333332,5.664666779097033,0.42362772704872076,2.541805105413269,-0.2197263636363635,6.810855125658895,-0.022960851966150886,1.4520397138275143,-4.69937,1.613477178673439,-0.5148492981408557,3.0729908596881033,-0.22091111111111117,1.9583939119393186,0.8894542855993903,3.4710509298850623,-4.69937,1.0281585308696322,-1.0269253947250987,2.518673527635503,-0.6285000000000003,0.8223922976596999,-0.028846186539134268,1.248836776942896,-4.656010101010101,0.8791612335888359,-0.623473098869486,1.5,-1.0077878787878785,0.6566969696969691,0.0,1.0,0.26860199999999995,0.032069208122434203,-0.01724404459296054,1.779985183571432,-0.009786777777777774,0.046596389776170845,-0.5927741189857612,1.8344448070197292,0.26860199999999995,0.01328734230386195,-1.225871458055606,2.957597892618473,-0.007031624999999979,0.014933028269472834,-0.7095060090237593,1.9620525335696588,0.26983595959595963,0.019165534745724726,0.22910337194905164,1.5,-0.0094342424242424,0.037227878787878754,0.0,1.0
Adele - Rumour Has It,0.3921691666666666,0.1084962547708701,0.5555855551957586,3.365753242103495,-0.002050420168067228,0.134980733062696,-0.41960606388234106,3.955928760715051,0.3921691666666666,0.084809928709078,0.3491576366229202,3.9311423981999964,-0.004419491525423729,0.10950993493237952,-0.5139382575398004,3.176574282640503,0.39266245791245785,0.0782173020488493,0.3343655048082794,3.365130337640757,-0.006329870129870133,0.10063723993237168,-0.05310039507844671,3.3466421939440467,0.3921691666666667,0.048565348665197704,0.33353644666049787,2.5279106134590807,-0.012603636363636367,0.0719415382948641,0.17994189497051277,1.977935609833656,0.9764241666666665,7.711216660434718,-0.1299198063593991,2.8012537247040266,-0.2165806722689078,10.173036377306245,0.21050605332858266,3.1614855187459185,0.9764241666666664,5.510385611132338,0.07301528706513091,2.822171491892409,-0.2733915254237288,6.9134258420595645,0.5602216225655079,2.736086740865128,1.0739276094276091,4.896366281622912,0.3400278898195377,3.7003301461305482,-0.2748008658008659,6.084200227331383,-0.9343035757821585,5.321094594346352,0.9764241666666665,3.2998335847520615,-0.21261895965184383,1.9336458338268847,-0.5610790909090908,3.976038418939258,-1.3196537841010734,5.07594131565996,-3.66066,0.9702900712673503,-0.3448393975291589,2.542284853278247,-0.14338888888888895,0.9887480675013499,-0.024946405808169196,2.738410271096578,-3.660660000000001,0.758066689282678,0.21600265930587964,2.4404204168186903,-0.35163750000000016,0.9306325458894882,0.5069352737544345,1.6596126838088765,-3.625171717171717,0.8968558391882686,-0.09852734680546725,1.5000000000000002,-0.5043030303030303,1.6901515151515156,0.0,1.0,0.3098165,0.054069092992670036,0.10117423053096761,1.8977059842418018,-0.01974644444444445,0.04245590676117494,0.944820981303959,3.219325908183273,0.3098165,0.046464975127508676,-0.21454758694671627,2.0304827629971323,-0.03453749999999999,0.0115077762730251,-0.5365392050720532,1.7412712944666497,0.3113124242424243,0.035891132126898304,0.021109036156847588,1.5000000000000004,-0.04395530303030298,0.000757727272727271,0.0,1.0
Adele - Turning Tables,0.26915083333333334,0.09778666149313116,0.558685840923853,3.118883416898135,0.00045546218487394955,0.10598713153018376,0.04488052672838189,3.2473317069787986,0.26915083333333334,0.08314941395447249,0.34192077742334814,2.5820511168152662,0.0016322033898305104,0.092889781490294,-0.5589208427816337,3.530027935609681,0.26800505050505047,0.07265778754833678,0.22712409486041235,2.214212691803201,0.000449350649350651,0.07245536996520453,1.038580017786052,5.351013838548613,0.2691508333333333,0.05594391081823728,-0.35358062859653233,1.9353443410722653,0.002801818181818178,0.05069898310226058,-0.6236205465307977,2.482206173518585,2.473698333333333,10.138494512689276,0.2653808641877274,2.560673215956822,0.03150000000000004,10.977920764253058,-0.37881216744310076,2.9231854365602588,2.473698333333333,8.840020409233446,0.38152835895838855,2.988840838751626,-0.14200932203389827,10.713198782720829,-0.8193137051147837,4.544072530515335,2.39308164983165,8.060222925477811,0.1856678099932513,2.7829311818604534,-0.4204372294372291,10.816018155479922,-0.4538641652445616,3.3134198070140477,2.4736983333333336,4.598113841262947,0.6323717735457087,2.407922121248993,-0.6554409090909092,5.34497348856671,-0.9800528815511288,2.7049830901035414,-7.84972,1.9974465869204112,0.2948616832176619,1.9232939600427226,-0.4513333333333335,2.6188188177115275,1.1961955129012118,3.6580207558407913,-7.84972,1.6408415647465782,-0.19240537164647256,1.242143116757723,-0.29854999999999987,2.6403875674320987,0.30594318966930123,1.870910853491165,-7.86379797979798,0.6669915417481665,0.20733232844127708,1.4999999999999996,0.47650000000000015,1.1492575757575767,0.0,1.0,0.31103210000000003,0.0475927511779893,0.8393758901392019,2.469827504936634,0.005666333333333329,0.051476296499780694,0.5156816194264487,3.1136171242377593,0.3110321,0.03356933851805839,0.8441418561309144,2.467302750356796,-0.006068000000000004,0.04792472991316691,-0.20749129636224642,1.6066973565784717,0.3100665656565657,0.034334633174404175,0.6212804168508693,1.4999999999999973,-0.032444090909090895,0.04633621212121214,0.0,1.0
Adele - Don't You Remember,0.23317666666666667,0.10162026350859142,0.810579903354558,3.0635763932122204,0.00034285714285714475,0.10975909263184598,-0.4287170151122443,4.1287567980746,0.23317666666666664,0.08585477732129347,0.5903637305088357,2.597521994912656,0.0020618644067796578,0.10368264541827028,-0.5057191010035471,4.671728047410598,0.23139730639730638,0.0763478294452622,0.5860020745184115,2.1475143829076844,0.003254545454545453,0.10838752513737315,-0.1256097785327715,2.304633498719267,0.23317666666666667,0.03811641014343063,0.2154148256050907,2.3961699485974797,0.00461090909090909,0.06053807719181906,-1.1259107252741465,3.486376760596626,2.7307458333333328,9.911369890945918,0.11093154223216344,2.5816162654846173,-0.012415126050420416,11.605721792561022,-0.14367208035650236,2.7468954008196826,2.7307458333333328,8.074807243516155,0.11350040925465424,2.955914333972895,0.05257288135593247,9.264375361622836,-0.19103193660179563,2.2758727669256094,2.666619528619529,6.88093980077621,-0.16392826835937813,2.2767323310142116,0.005687445887445795,8.583631871840891,-0.19824763644626184,2.3104116679362474,2.7307458333333336,4.699319529581665,-0.4418671065037235,2.759587308941235,0.290059090909091,7.21373915994454,0.0912643255747691,1.5558916018475506,-7.905430000000001,2.7409066689874715,-0.3400142381121043,2.000344160619156,-0.46588888888888885,3.3843978976882343,-0.866304203407428,2.792410557529633,-7.90543,2.0739699119321857,0.5401607548388996,1.6471164300193495,-1.1315375,3.128931736906183,0.5361167548496473,1.9001494702820283,-7.934919191919192,2.2979239792088513,-0.217874231074434,1.4999999999999991,-1.145515151515152,4.452575757575758,0.0,1.0,0.38169390000000003,0.06771754482621176,2.0882177894468366,6.532970633699123,-0.021576999999999995,0.073544499256497,-1.4387144703938641,4.442103632717221,0.38169390000000003,0.0471604115020215,1.123121131379489,2.803635990848654,-0.024555750000000015,0.062303851109401745,-0.5047721915664258,1.6707224241699723,0.3844279797979799,0.027878839338263146,0.6161035609432853,1.4999999999999936,-0.026233939393939393,0.03785333333333332,0.0,1.0
Adele - Set Fire to the Rain,0.28108,0.11511811441587577,0.768548531494328,3.1876103265424116,-0.00019747899159663977,0.14919215316186402,-0.13762876762070933,3.3012291534763705,0.28108000000000005,0.08582696701309367,0.5342566335602985,3.011865224922461,0.00038559322033898436,0.11098406743604278,0.4836702711052102,3.9790894697309036,0.280867845117845,0.07968437833500713,0.9152840061169819,4.226962699348115,-0.0011870129870129849,0.1139373022939896,0.17345512703602758,3.717110966580321,0.28108,0.04136993151231138,0.016829592556133307,2.3998262972196582,-0.0012599999999999985,0.06119939542185038,-0.9915975390973163,2.8886569774067765,3.944490833333333,9.20131307045355,0.15354177269890737,2.7432111787339606,-0.2647025210084034,10.872320955391835,-0.05476548646796519,2.6845579944011857,3.9444908333333335,7.4312907302808195,0.43116262018455276,3.119851822878588,-0.3747669491525424,8.26465154828853,-0.18052341251727538,2.404398123817636,3.957271885521886,6.7234671969815665,0.5386221171980774,3.267488524492698,-0.6390519480519481,8.049154060419513,0.08068848757494024,2.245803216043648,3.944490833333333,5.112416724698242,0.6586094160973831,2.880484322464746,-0.9655754545454546,3.4328077729180544,1.3103287816695042,5.051960439274563,-4.55206,1.8030820370687521,-0.17721024002500926,1.445959037691215,-0.12565555555555566,1.2578127038731526,-0.1731011936925539,2.660449154318557,-4.552059999999999,1.6194903057443721,-0.009551279229028544,1.3985650497561077,-0.5337749999999999,1.7717065436677149,0.10985330082621664,1.9609468627627318,-4.5604141414141415,1.5140235561707533,0.6949454686267909,1.5,-1.5454242424242421,1.7748787878787882,0.0,1.0,0.3080274,0.03771996693582857,0.39806182690016245,2.9733490689273614,0.00037544444444444675,0.057630792379134564,-0.5970662522582928,2.186598162825919,0.30802740000000006,0.01923940780117726,-0.2733013943734012,1.6701640360598715,-0.00013662500000000133,0.031238801254159475,-1.102211594315503,2.297280871227016,0.30848414141414143,0.020963201032057534,0.3506534406296106,1.4999999999999982,-0.016472272727272724,0.03411075757575757,0.0,1.0
Adele - He Won't Go,0.3393541666666667,0.13041200027594171,0.4140421460548519,2.476005533748515,-0.0027781512605042032,0.14715116572101206,-0.07746411430454411,2.5581441649875445,0.3393541666666667,0.11238000055305908,0.5285565324345733,2.773940756517812,-0.006354237288135593,0.138245786182797,-0.28104402203573586,2.8007791974928296,0.34095875420875427,0.0933208732644361,0.4172845210316438,2.864666320103499,-0.009300432900432897,0.12722682358574447,-0.07883030198236163,2.1953089622636073,0.3393541666666666,0.04685558512748387,-0.5130255531175949,1.763727326187516,-0.010518181818181815,0.05570232504012764,-0.09696689068838259,2.7844182553082315,1.8372783333333331,12.715353625625093,0.1420430749914723,2.8041604609477604,-0.05263025210084069,17.472952050889923,-0.07266398748683547,2.471336719161571,1.837278333333333,9.289488758086415,0.20602545996664257,2.3477048959657405,0.019676271186440764,11.972107979596363,0.15493883406460465,2.885278089430109,1.7281910774410774,7.593108409957397,0.1974455158985752,2.8687141846204303,0.0656363636363638,10.84593188137816,-0.27406232706009165,3.6381353187699403,1.8372783333333338,5.4510303437298795,0.36326869342139356,2.867357112827213,-0.2974927272727273,9.250009910402643,0.5485416209868972,2.1824910821873513,-12.437190000000001,1.6999172906056337,0.07049818662679717,3.045557743845659,0.3372555555555557,2.50382177041911,-0.3439611796030874,1.786613244750009,-12.437190000000001,1.1188553165624242,0.022946894294512743,1.7389672539020757,0.18768750000000045,1.4251827871254807,-0.04686581365314514,1.0998170004305448,-12.533707070707068,0.7876759942327969,-0.7070337650764422,1.5000000000000044,0.004621212121211471,1.6708939393939417,0.0,1.0,0.2329084,0.019525667508180092,0.4355460778412429,1.9162593373381966,0.005269111111111113,0.028810340857424562,-0.2939913893902123,2.0473492685969625,0.2329084,0.014929440720937966,-0.3328973098568217,1.5918062939218427,0.003039374999999997,0.02949084255615424,0.07771577096490678,1.1057400119386276,0.2313310101010101,0.007008237622397115,-0.45098577223268255,1.4999999999999947,0.005876666666666669,0.010835757575757554,0.0,1.0
Adele - Take It All,0.2650558333333333,0.09641073228279906,0.29018601059102034,3.263545607430505,-0.0016731092436974798,0.13201217075128738,0.020600909687003458,3.4325641486231446,0.2650558333333333,0.06551630782463418,0.4360474430861995,3.2650556642018804,-0.0012177966101694906,0.07925697785818527,0.39457571353096343,2.2835024848814234,0.2655909090909091,0.05026576877416794,0.6351580342901363,3.587415766968171,-0.0003264069264069271,0.05152157030839217,0.4939031691711328,2.7257632039478614,0.2650558333333333,0.03721071047837648,0.32258568493846385,2.6477643225206666,0.0012936363636363655,0.04443304161068497,0.6090575668605787,2.1033050258430896,7.824250833333333,10.840884990388592,0.3740698135604328,3.0587310188437833,0.005526050420167966,12.149244734283815,-0.2678961440942031,2.4744314873538586,7.824250833333333,9.083936985500339,0.6572343552958202,3.381703397708703,-0.14333220338983044,10.789273229614912,-0.0948876248196132,3.7282875160673328,7.816308922558922,7.921486317784667,0.6993285770469712,4.378754707728509,-0.26505541125541143,8.791983714409827,0.4099380335704299,3.760571973310406,7.824250833333333,5.447281842045104,-0.02971900233312591,2.7453865196755816,0.23620363636363634,7.905389384806098,-0.34515513193840974,2.129970536757758,-7.71151,1.5930052789931362,-0.294353455800675,1.7942452769459152,0.13808888888888907,1.8908527520345266,0.488065209148872,2.0168020460340346,-7.71151,1.2203252334521324,0.3308147754805684,1.5103610396094291,0.19422499999999965,1.694198537103903,-0.5197169815891203,2.060921393319138,-7.666414141414141,0.2732782384543141,-0.17301485795423005,1.4999999999999998,0.14292424242424273,0.524196969696971,0.0,1.0,0.3311658,0.0691389011943349,0.8144012151355611,2.715209513052073,0.008311555555555565,0.09976737336882027,0.3773357277114865,2.35616220514722,0.33116579999999995,0.04200191727957192,-0.31981011001258214,1.3878211027069023,0.004934250000000029,0.08657082927183099,0.04600844747698895,1.074880488328899,0.33259242424242424,0.019947028796806564,0.5885109954834593,1.4999999999999982,0.004754393939393947,0.041504999999999986,0.0,1.0
Adele - I'll Be Waiting,0.3428191666666667,0.13091029262809026,0.6961310598268761,2.7911796771745614,-0.0001260504201680678,0.18169916565677238,-0.09858919182670842,2.9550376191807106,0.3428191666666667,0.09306927262871938,0.6621215853016817,2.975261911475394,-0.0008915254237288151,0.12352926783935589,-0.36307475624457414,2.5069880990923594,0.3436026936026936,0.07948791626819009,0.22630531072620064,3.1244601338973497,0.0006121212121212114,0.11339948709361333,-0.4436818974467179,2.556473396528202,0.3428191666666667,0.05011753642826918,0.5020972506740604,2.9187200841126244,0.008734545454545455,0.08139510632638977,0.42972404456391633,2.34746527124876,0.8722591666666666,8.98556932152415,0.08811734779080896,2.512155851714028,-0.1720915966386557,11.025951581202497,-0.3655646688297517,3.593794614468238,0.8722591666666664,6.950363527390083,0.22004444707863388,2.726483116266089,-0.28114406779661016,7.447648724086016,-0.13435924434178162,2.66763515217208,1.0039284511784516,5.884701769073371,0.05544985249867515,2.5862589606491295,-0.2235506493506493,6.622848450757772,-0.030140197149402064,2.436503262557393,0.8722591666666669,4.212515708970627,0.007409075553164636,1.7963470556450598,-0.13307909090909076,4.6907819849310535,0.5538960833327146,1.876227277624964,-4.93782,1.4556935026302753,-0.19731306298205326,1.4587966025013912,-0.0648555555555556,1.9124704640340116,-0.3925261838793964,2.5652334046531604,-4.93782,1.1354213110559443,0.2370774047708753,1.7430475561378775,0.28932499999999983,2.190597911102126,0.123832509017499,1.4153387546721974,-4.920484848484849,0.2568230034409279,-0.6877078158456479,1.5,0.28386363636363665,0.23468181818181844,0.0,1.0,0.2555702,0.027209635674885466,0.32940802823386667,1.8843659186134982,0.0018027777777777766,0.04610400154428095,0.6879853213741681,1.9358055919072863,0.2555701999999999,0.017482059963288093,-0.24008141176620376,2.5061837787024133,0.007594249999999997,0.02967880705465607,0.6342059680730697,2.0873033129571756,0.2545386868686869,0.005202745151015732,0.7049106773465494,1.4999999999999796,0.005432727272727256,0.005767575757575805,0.0,1.0
Adele - One And Only,0.26497499999999996,0.11859930877398345,0.5772577338620893,2.7992632178594024,-0.0005840336134453796,0.1560723366996523,0.5025753892163867,2.9133806694002398,0.26497499999999996,0.09384413962345581,0.32783880690017814,2.3457926084212053,-0.0013999999999999978,0.13641840424572174,-0.11618099806796213,2.9079721921553014,0.2662702020202021,0.057910888191033474,0.22762637329438307,3.0310386321244653,0.002832900432900434,0.07317204737778334,0.13759581448683908,2.364244816531202,0.264975,0.04314280038430514,0.3866546522660783,2.76282341550294,0.004370000000000002,0.06717936966875253,0.33244449361273964,2.2391603254051984,3.7918483333333333,12.525351053629748,0.5026101582930645,2.5455137061452797,0.01872352941176459,12.30656488293682,0.3224509183503863,3.652606254002164,3.7918483333333333,10.787008931476194,0.4781084354420876,2.4222262145259137,0.20319406779661006,10.601750544379989,0.5972625591518042,4.467350521331414,3.694404882154883,9.856947913936182,0.22660957697683543,1.7776302722095345,0.3319246753246752,11.450957596494208,0.44476873353596175,2.7531038534138434,3.791848333333333,6.263768304439208,0.025610854141390044,2.446684710335548,0.9932181818181818,11.055769264776583,0.12595000016286778,2.7607814488864255,-8.1971,2.6154890299903766,-0.47397139874714495,2.405407162838884,0.47521111111111103,3.848866497336714,-0.051405738799333946,2.266748601692552,-8.1971,1.6505296265138663,1.097135493642248,2.7350229848081713,0.259087500000001,2.8069618799457805,0.458247776800082,2.046363800217575,-8.22860606060606,1.80164329453949,0.6700107474129985,1.499999999999999,0.238833333333333,3.7994090909090916,0.0,1.0,0.27626439999999997,0.06023080724214144,0.8711786766920041,2.8856271816891894,0.008780222222222224,0.08135758018604285,-0.1639833498784676,1.8359703863298116,0.27626439999999997,0.04297971069865407,0.09800509121154734,1.7495219128442514,0.01416025000000002,0.06610825372967809,-0.6947311652179058,2.1051651231226445,0.2756457575757576,0.044062616891716595,0.706827144113895,1.4999999999999991,0.0005059090909090708,0.09346681818181816,0.0,1.0
Adele - Lovesong,0.2713666666666666,0.10925301928195037,1.0488354540304863,4.175944253700396,-0.000395798319327729,0.1477568138285543,-0.33832290913931445,3.6350684702678144,0.27136666666666664,0.07808135856627724,0.8408760785631219,2.9805529638180683,-0.0013322033898305072,0.10358355824749828,-0.23709532448847445,3.8765210791034557,0.2708602693602693,0.0633890690737916,0.32980292154453256,2.407607190183057,-0.0019982683982683967,0.08046602324527867,-0.19233284525370034,2.7173055902504575,0.27136666666666664,0.03674573928437902,0.8999958605099021,4.164824323097481,-0.0020718181818181847,0.05822244409756615,0.03417553514694202,2.3593882761238967,-7.655585,10.91127237454192,0.005291647538032195,2.637852358365063,0.06805630252100832,14.650205248395237,0.1560701382302213,2.5873356013173465,-7.655584999999999,8.681515096203448,-0.015142047784430561,2.6746688522782094,0.19931186440677934,11.20375736220734,0.3362003276031038,3.1517599143422657,-7.602605218855219,6.815418217495067,-0.1747122604901595,2.1752877407273834,0.1768225108225111,9.456296899764434,0.24752438853546158,2.0802661575739876,-7.655584999999999,3.2814193934777167,-0.18627661959635028,3.514601258221047,0.2507372727272731,4.358259153359058,-0.08130825460903152,1.6797229365497135,-11.90064,1.7863266057471126,-0.3272622367859284,1.717792530736328,0.5779444444444446,2.1810894984495506,-0.49094044160417316,2.49569877152083,-11.90064,1.5525351449806217,-0.7249829839120983,2.204752800684577,0.9089249999999995,2.4432923296496885,0.1570057483479077,1.9290055638512211,-11.903848484848487,0.6197530660441588,-0.5728407261665983,1.4999999999999944,0.7217424242424242,0.4070454545454547,0.0,1.0,0.2745317,0.032142655795842384,-0.1157435584645633,2.508641564497601,0.012359000000000002,0.03258061268777968,-0.875486880304626,2.9908150896175427,0.2745317,0.023857058625488592,0.01843431588127143,1.5822878614745186,0.01636274999999998,0.004983195467017189,0.4427784182088381,1.7047998104887356,0.2719752525252525,0.014536128955668174,-0.6747396458956731,1.4999999999999996,0.01443924242424241,0.018038030303030334,0.0,1.0
