,duration10mean,duration20mean,loudness33skew,timbre10dstd,loudness10mean,pitches20dskew,pitches100mean,pitches20dstd,pitches10std,pitches20mean,timbre100mean,timbre10kurt,timbre100dstd,loudness10dskew,pitches33mean,loudness20mean,duration33mean,pitches10mean,loudness20dkurt,loudness33mean
Adele - Rolling in the Deep,-0.11968821866146198,-0.11968821866146098,1.1351854118809064,-0.20818548406913026,-0.3944416449575952,-0.2974445482911864,-0.36094145891920676,-1.01241142890029,0.37711067032403994,-0.36094145891920676,-1.0195227592363758,-0.1600964961251973,0.1263221699889607,1.3824899891524842,-0.34388364252930687,-0.3944416449575952,-0.12381678525379791,-0.36094145891920676,0.09812952949118842,-0.3971451739362346
Adele - Rumour Has It,0.21502436185671378,0.21502436185671484,0.14706973328627784,-0.01449149502019302,0.48779847805640847,-0.622619494393907,-0.08331434550039193,-0.7901067527182934,0.9803277253527569,-0.08331434550039112,-0.7092555651575593,0.28199923039526514,1.117538018036376,1.2594729203739936,-0.0720398382699829,0.48779847805640847,0.2298439121450558,-0.08331434550039112,0.5378397670719078,0.48181349666196105
Adele - Turning Tables,1.4185815497708774,1.4185815497708796,2.02081456502797,-0.17905469726808904,0.16380833523436691,-1.746018844272256,-1.0379139768616386,-1.4887010746655698,-1.4415092552855515,-1.0379139768616386,0.43947708222803417,-0.28886705115908645,-0.8000270896818071,0.4833243350402337,-1.06072818894969,0.16380833523436691,1.3886891692351964,-1.0379139768616386,-0.42782231466454357,0.15747618434373095
Adele - Don't You Remember,1.6216663413694548,1.621666341369455,-0.9537999446230576,0.4475518242874248,-0.029208172861938875,0.09573417046229586,-1.6542060024778091,-0.215749486098034,-0.8817462904758688,-1.6542060024778087,0.04040209248923093,0.2523777675777581,0.6357526157947959,0.086161848779135,-1.6442619595983199,-0.029208172861938875,1.6656467512486612,-1.6542060024778082,1.169140132811998,-0.0200809927720527
Adele - Set Fire to the Rain,0.4457325445162941,0.4457325445162942,0.7848648993551635,-0.5334308489569827,0.350818941002641,-0.356258440092794,-1.6224673327859405,-0.5496694408448076,-1.0372519745143756,-1.62246733278594,-0.5901006713329476,-0.27760807331254184,-0.18694948458559293,-0.6157442489182251,-1.6149974026132692,0.3508189410026412,0.4420847312778637,-1.62246733278594,-1.8470896708723188,0.33192006968029697
Adele - He Won't Go,-1.181082243834652,-1.181082243834651,-0.2564225890113875,1.378794489769271,-2.145613048599299,-0.1300808451775975,-0.49653309710205284,0.3870587692184894,0.16474123683224368,-0.496533097102052,-1.0048149196385923,-0.7238505112294367,0.7925013866878695,-0.5991849376346887,-0.4773938360658645,-2.145613048599299,-1.173634488197135,-0.49653309710205284,-1.0359911222802696,-2.151414165213895
Adele - Take It All,1.4258161178847462,1.4258161178847484,-0.6420982405407412,0.01891784500282352,-1.4293937550561788,-1.2123110495662823,-1.6506822216036345,-0.7912349313323702,-0.5598923501971109,-1.6506822216036336,-1.2288418693035488,-0.27904812714073973,2.227462671235872,-0.45500120184690146,-1.6506682552926608,-1.4293937550561793,1.4587560322082738,-1.6506822216036336,0.5392178041282712,-1.4209453272220802
Adele - I'll Be Waiting,-0.27139107262303047,-0.27139107262302953,-0.7670277089036945,-0.421135094815069,0.5762490396146908,-0.8597738072854744,-0.3990623611034619,0.95469300051456,1.0883465416453344,-0.3990623611034602,-1.0703622187353807,0.21771702031491852,-0.40774421039012965,0.6318183056302197,-0.3869828069476603,0.5762490396146908,-0.2800907137078537,-0.3990623611034619,-1.9153672785921696,0.5787237246192085
Adele - One And Only,0.6658201127675447,0.6658201127675458,-0.01768033214036947,1.5138000271617345,-0.15230817092809557,0.37613288102557,-1.5727770940952168,-0.6322471097414554,-0.9775797000553293,-1.5727770940952168,0.3239210692715832,-0.6591890881726812,0.132837080632856,-0.5120935269696812,-1.5598459270345486,-0.15230817092809557,0.6377743662770172,-1.5727770940952164,1.3318342768967584,-0.15465682510856502
Adele - Lovesong,0.8123541226267013,0.8123541226267014,1.7777515009282046,-0.25893447240256223,-2.1919481774196328,-1.1875221310756952,-1.954565198808696,-1.5402644427516679,-2.096907431478356,-1.9545651988086952,-3.3015661583117,-0.3459846471618832,-0.0762083923032249,1.4046803027803467,-1.9632057471823858,-2.191948177419632,0.8207877867567801,-1.954565198808696,0.7367637025559169,-2.192852551637359
Adele - Someone Like You,0.5732796670392508,0.5732796670392508,-1.0763528639056026,-0.5169473551809145,-1.0745934074077772,-0.901965606579911,-1.69263492746575,-0.9210974545377104,-1.5854580984493736,-1.69263492746575,-1.3707098484610287,0.11425891556763883,1.0890007256845744,-1.0357308012148558,-1.6855289733025325,-1.0745934074077772,0.6108238792202306,-1.69263492746575,-0.7978597079845462,-1.062431487322718
Beastie Boys - So What'Cha Want - Edited / 2005 Remaster,-0.7366287553189569,-0.7366287553189556,1.9395597191224039,1.4796917170982062,0.9107735993543492,-0.19883235713436634,2.0609802419078718,-0.06552093078633851,-0.20458875091267673,2.0609802419078735,0.7302683723980692,-0.13685089468566128,-0.36819362583149,0.09117590557065723,2.0701805729208833,0.9107735993543492,-0.7267378386732478,2.0609802419078735,1.2894756193179133,0.9141230528915737
Beastie Boys - Brass Monkey,-1.1142971507724524,-1.1142971507724515,0.6356230520438663,2.7133508595470954,0.3044961649225953,-0.3988013488454456,0.7591403434946343,0.9450421313497893,0.6376920732832977,0.7591403434946368,0.2480566605707597,-0.2920396854104458,0.23138334812998396,-0.5717321677770452,0.7353403733716055,0.3044961649225953,-1.118313425787428,0.7591403434946351,-1.72638117724431,0.3099702427476832
Beastie Boys - Ch-Check It Out - Edited / 2005 Remaster,-1.2678626022403985,-1.267862602240398,-1.051390154038197,2.068511189310521,0.6198270368027405,-0.12106959689529724,1.5150036619172822,-0.6352469810973642,0.249263528551365,1.5150036619172829,1.5967705853540006,0.5685665168380191,-0.05565017897782202,0.9648704869678655,1.5300326297275133,0.6198270368027405,-1.2717343344734076,1.5150036619172813,-0.1725828057632104,0.6196892689658933
Beastie Boys - No Sleep Till Brooklyn,0.055152920583823206,0.05515292058382422,-0.021297748434284985,1.9503424621560679,-0.1454696939046524,0.7548582454310949,-0.08033268476070407,-0.8340212358835135,-1.3618185240614906,-0.08033268476070407,1.8101212046702537,0.7184210668801153,1.0587318012647693,-1.1448884298345343,-0.07938090473684635,-0.1454696939046524,0.018993825477973618,-0.08033268476070489,-1.284266963931207,-0.14728048871080227
Beastie Boys - Hey Ladies,-1.2734902946087456,-1.2734902946087447,-0.5542695479634888,1.327079781360812,1.0952049529504866,-2.019636703562636,1.945828996977671,1.000972989430671,1.152280579756603,1.94582899697767,2.9948537195501865,0.0845014948727015,-0.7284177835092542,-1.3512923675170225,1.9163422309845737,1.0952049529504864,-1.2914651219884636,1.94582899697767,0.9767808209348126,1.0957242740850783
Beastie Boys - Pass The Mic,-1.1331534567839578,-1.133153456783957,1.8292840538267194,0.38418780548786213,1.087731545076239,-1.7785831296156938,1.633752613194544,1.1629476772558278,1.3584546020178287,1.6337526131945448,0.2144151802265279,1.0815182114819049,-0.6513809206944872,-0.6078898801273275,1.6484244639698364,1.0877315450762393,-1.1246983189018418,1.6337526131945448,-0.24124982489465086,1.0885569836581022
Beastie Boys - An Open Letter To NYC - Remastered 2005,-0.8265884062550648,-0.8265884062550639,-1.0668475852766506,1.5944226327406552,0.221475867994923,0.2846628192763433,0.44408229897182444,1.9638158988667591,1.6405952834147786,0.4440822989718228,0.6400111095931945,-0.519526973226018,0.6840146813235892,1.736544890467748,0.43982817315205797,0.22147586799492322,-0.810730373697589,0.44408229897182194,0.8286423392533162,0.22659325275637168
Beastie Boys - Root Down - Edited / 2005 Remaster,-1.5543725376519277,-1.5543725376519275,-0.4516739914875658,0.8868542729928471,0.7164279364030531,-0.15528078934223447,1.1652992124357995,-0.41611785439856863,-0.1855765731025999,1.1652992124358001,-0.4057418736138551,-0.46190722591114936,0.20974862660781238,-2.473008654355086,1.178708382583329,0.7164279364030531,-1.5499395392793454,1.1652992124358001,0.640270843882865,0.7182146259117198
Beastie Boys - Shake Your Rump - Remastered 2005,-1.7894025994329283,-1.7894025994329277,-0.32952550085385907,2.5253700248607927,0.8257373352116731,-1.1678923720769625,1.2894200814093548,-0.2219237006227516,0.08433773185526085,1.2894200814093566,1.6586827764374663,-0.26184937068839853,0.33405124760865623,-0.766200747400059,1.3204944133592715,0.8257373352116734,-1.8129420934111362,1.2894200814093566,0.9757715850575891,0.8236534317485671
Beastie Boys - Intergalactic,-0.589871669030118,-0.5898716690301176,-1.0066307837641426,0.9778331401045882,0.5644645253799272,0.8678201793451197,2.1146378143100812,0.7295524399413931,0.3617209594350803,2.1146378143100804,0.01255009128040733,-0.4023009278853921,-0.5496151804924843,0.9840344910473994,2.120521094923698,0.5644645253799272,-0.571748227799675,2.1146378143100812,0.6214331967623523,0.5634708346793004
